FechaDocumento,Pico_0_B_M_A_TOP,Pico_B_M_A,EsFechaNomina,EsMayor2M,EsFinSemana,TotalVentaNeta,VentaContado,VentaCredito,UnidadesKit,TotalDsctos,Gramos,VentasNORTE,VentasOCCIDENTE,VentasCENTROORIENTE,Dolar,IPC,EsPicoAumetado,EsFechaEspecial
45307,0.5,0.33,1,0,0,1436000,1436000,0,33,0,330,314400,430500,691100,0.39115,0.098580645,0,0
45308,0.5,0.33,1,0,0,1485150,1485150,0,36,0,360,306100,341700,837350,0.39115,0.099129032,0,0
45309,0.75,0.66,1,1,0,2436900,2436900,0,47,0,470,242100,1024500,1170300,0.39005,0.099677419,0,0
45310,0.75,0.66,1,1,0,2056200,2056200,0,47,0,470,285900,239500,1530800,0.394785,0.100225807,3000000,1
45311,0.75,0.66,1,1,1,3556100,3556100,0,77,0,770,1016900,905500,1633700,0.39565,0.100774194,3000000,1
45312,0.75,0.66,0,1,1,2231800,2231800,0,40,0,400,86400,519500,1625900,0.39125,0.101322581,0,0
45313,0.25,0.33,0,0,0,957800,957800,0,31,0,310,37800,135000,785000,0.39161,0.101870968,0,0
45314,0.5,0.33,0,0,0,1517200,1517200,0,27,0,270,0,241500,1275700,0.39161,0.102419355,0,0
45315,0.5,0.33,0,0,0,1929350,1929350,0,42,0,420,705550,426500,797300,0.39161,0.102967742,0,0
45316,0.5,0.33,0,0,0,1188700,1188700,0,33,0,330,127900,292500,768300,0.39095,0.103516129,0,0
45317,0.5,0.33,0,0,0,1141800,1141800,0,28,0,280,432900,236000,472900,0.39485,0.104064516,0,0
45318,0.5,0.33,0,0,1,1019950,1019950,0,28,0,280,201100,59300,759550,0.39113,0.104612903,0,0
45319,0.75,0.66,0,1,1,2307500,2307500,0,51,0,510,290100,1314500,702900,0.3933,0.10516129,3000000,1
45320,0.5,0.33,0,0,0,1387700,1387700,0,30,0,300,54500,334500,998700,0.3902,0.105709677,0,0
45321,0.75,0.66,0,1,0,2238900,2238900,0,34,0,340,668000,0,1570900,0.3902,0.106258065,0,0
